"cpg_grouping","tile_methode","model_id","dataset","model","organ","rsq_threshold","filter","epse","mae","r_squared_value"
"Point","Point",26,"Validation","Elastic_net","Brain","r2_nofilter","nofilter",1,4.04841590424821,0.602032335001994
"Point","Point",27,"Train","Elastic_net","Fin_clip_caudal","r2_0.05","min10",1,0.761206696883531,0.996076610160677
"Point","Point",27,"Validation","Elastic_net","Fin_clip_caudal","r2_0.05","min10",1,3.00083492606507,0.768326260291272
"Point","Point",28,"Train","Elastic_net","Fin_clip_caudal","r2_0.05","min20",1,0.626790907407306,0.998606336315282
"Point","Point",28,"Validation","Elastic_net","Fin_clip_caudal","r2_0.05","min20",1,4.12167568661854,0.641677921726922
"Point","Point",29,"Train","Elastic_net","Fin_clip_caudal","r2_0.05","min5",1,0.176371606969894,0.999866707587784
"Point","Point",29,"Validation","Elastic_net","Fin_clip_caudal","r2_0.05","min5",1,4.41681561201282,0.662962034379166
"Point","Point",30,"Train","Elastic_net","Fin_clip_caudal","r2_0.1","min10",1,0.153770770049641,0.999905454367303
"Point","Point",30,"Validation","Elastic_net","Fin_clip_caudal","r2_0.1","min10",1,7.10789509095614,0.65324768246838
"Point","Point",31,"Train","Elastic_net","Fin_clip_caudal","r2_0.1","min20",1,1.15493053258244,0.993284465278468
"Point","Point",31,"Validation","Elastic_net","Fin_clip_caudal","r2_0.1","min20",1,7.15922515324535,0.628180136900838
"Point","Point",32,"Train","Elastic_net","Fin_clip_caudal","r2_0.1","min5",1,0.150379551899919,0.999855589643367
"Point","Point",32,"Validation","Elastic_net","Fin_clip_caudal","r2_0.1","min5",1,3.80088286778491,0.75493276959407
"Point","Point",33,"Train","Elastic_net","Fin_clip_caudal","r2_0.1","nofilter",1,0.150612473549774,0.99987390402103
"Point","Point",33,"Validation","Elastic_net","Fin_clip_caudal","r2_0.1","nofilter",1,9.03220766555931,0.64524643206319
"Point","Point",34,"Train","Elastic_net","Fin_clip_caudal","r2_0.2","min10",1,0.152458751644898,0.999901294902547
"Point","Point",34,"Validation","Elastic_net","Fin_clip_caudal","r2_0.2","min10",1,3.31372180744429,0.779826962786244
"Point","Point",35,"Train","Elastic_net","Fin_clip_caudal","r2_0.2","min20",1,0.23146681384774,0.999707101115541
"Point","Point",35,"Validation","Elastic_net","Fin_clip_caudal","r2_0.2","min20",1,3.03753922498996,0.667166744870372
"Point","Point",36,"Train","Elastic_net","Fin_clip_caudal","r2_0.2","min5",1,0.158634948773287,0.999882624200047
"Point","Point",36,"Validation","Elastic_net","Fin_clip_caudal","r2_0.2","min5",1,4.60536324849795,0.424349431496456
"Point","Point",37,"Train","Elastic_net","Fin_clip_caudal","r2_0.2","nofilter",1,0.150882638456171,0.99987107444461
"Point","Point",37,"Validation","Elastic_net","Fin_clip_caudal","r2_0.2","nofilter",1,3.68036537838362,0.561147579749335
"Point","Point",38,"Train","Elastic_net","Fin_clip_caudal","r2_0.3","min10",1,0.159032798383816,0.999751429687079
"Point","Point",38,"Validation","Elastic_net","Fin_clip_caudal","r2_0.3","min10",1,8.29346591715268,0.580540451307725
"Point","Point",39,"Train","Elastic_net","Fin_clip_caudal","r2_0.3","min20",1,0.147867481085585,0.999708561647047
"Point","Point",39,"Validation","Elastic_net","Fin_clip_caudal","r2_0.3","min20",1,8.55793852290535,0.826683292660581
"Point","Point",40,"Train","Elastic_net","Fin_clip_caudal","r2_0.3","min5",1,0.153720757377889,0.999799869762181
"Point","Point",40,"Validation","Elastic_net","Fin_clip_caudal","r2_0.3","min5",1,3.33843469975727,0.66516335425092
"Point","Point",41,"Train","Elastic_net","Fin_clip_caudal","r2_0.3","nofilter",1,0.152837490427678,0.999769544627601
"Point","Point",41,"Validation","Elastic_net","Fin_clip_caudal","r2_0.3","nofilter",1,8.7630682576034,0.555367616989052
"Point","Point",42,"Train","Elastic_net","Fin_clip_caudal","r2_nofilter","min20",1,5.02138600052511,0.32545663147652
"Point","Point",42,"Validation","Elastic_net","Fin_clip_caudal","r2_nofilter","min20",1,9.96598785333713,0.577701062836331
"Point","Point",43,"Train","Elastic_net","Intestines","r2_0.05","min10",1,0.156429371410024,0.999848562674351
"Point","Point",43,"Validation","Elastic_net","Intestines","r2_0.05","min10",1,6.88399559812415,0.744998157239837
"Point","Point",44,"Train","Elastic_net","Intestines","r2_0.05","min20",1,0.516864910399935,0.998047594556047
"Point","Point",44,"Validation","Elastic_net","Intestines","r2_0.05","min20",1,9.90962118335916,0.63733252667233
"Point","Point",45,"Train","Elastic_net","Intestines","r2_0.1","min10",1,0.16094456819926,0.999830973314609
"Point","Point",45,"Validation","Elastic_net","Intestines","r2_0.1","min10",1,2.99044926409912,0.827059611799886
"Point","Point",46,"Train","Elastic_net","Intestines","r2_0.1","min20",1,0.166549436712284,0.999819778305083
"Point","Point",46,"Validation","Elastic_net","Intestines","r2_0.1","min20",1,4.59123398604009,0.697334618632879
"Point","Point",47,"Train","Elastic_net","Intestines","r2_0.1","min5",1,0.160554591113729,0.999846013010371
"Point","Point",47,"Validation","Elastic_net","Intestines","r2_0.1","min5",1,8.53245116920778,0.656041756972018
"Point","Point",48,"Train","Elastic_net","Intestines","r2_0.1","nofilter",1,0.156821294580381,0.999926795722379
"Point","Point",48,"Validation","Elastic_net","Intestines","r2_0.1","nofilter",1,3.89719628905964,0.494466014868907
"Point","Point",49,"Train","Elastic_net","Intestines","r2_0.2","min10",1,0.154085788772154,0.999726412705413
"Point","Point",49,"Validation","Elastic_net","Intestines","r2_0.2","min10",1,7.74553856396902,0.729107955416867
"Point","Point",50,"Train","Elastic_net","Intestines","r2_0.2","min20",1,0.154756416587275,0.999465104780705
"Point","Point",50,"Validation","Elastic_net","Intestines","r2_0.2","min20",1,2.85417773334047,0.667218379351802
"Point","Point",51,"Train","Elastic_net","Intestines","r2_0.2","min5",1,0.170247401441198,0.999828214972088
"Point","Point",51,"Validation","Elastic_net","Intestines","r2_0.2","min5",1,3.00947139426341,0.710378109679702
"Point","Point",52,"Train","Elastic_net","Intestines","r2_0.2","nofilter",1,0.157161908013965,0.999805439535249
"Point","Point",52,"Validation","Elastic_net","Intestines","r2_0.2","nofilter",1,7.31717418545852,0.542301881486232
"Point","Point",53,"Train","Elastic_net","Intestines","r2_0.3","min10",1,0.921346749670107,0.978870900051662
"Point","Point",53,"Validation","Elastic_net","Intestines","r2_0.3","min10",1,3.59501390088142,0.491711139817705
"Point","Point",54,"Train","Elastic_net","Intestines","r2_0.3","min20",1,2.19286029360049,0.898801539624794
"Point","Point",54,"Validation","Elastic_net","Intestines","r2_0.3","min20",1,3.94450329456255,0.580372010562561
"Point","Point",55,"Train","Elastic_net","Intestines","r2_0.3","min5",1,0.164153949360632,0.999784522774937
"Point","Point",55,"Validation","Elastic_net","Intestines","r2_0.3","min5",1,9.40250881166909,0.549002309502742
"Point","Point",56,"Train","Elastic_net","Intestines","r2_0.3","nofilter",1,0.159827697181279,0.999859254978921
"Point","Point",56,"Validation","Elastic_net","Intestines","r2_0.3","nofilter",1,3.60208637259654,0.578294346363838
"Point","Point",57,"Train","Elastic_net","Intestines","r2_nofilter","min20",1,2.67884822819174,0.92806737095067
"Point","Point",57,"Validation","Elastic_net","Intestines","r2_nofilter","min20",1,6.27470336109459,0.593387799379392
"Point","Point",58,"Train","Lasso","All_organs","r2_0.2","min20",1,1.0055384785207,0.975049953227982
"Point","Point",58,"Validation","Lasso","All_organs","r2_0.2","min20",1,4.18651576673836,0.342994592675915
"Point","Point",59,"Train","Lasso","All_organs","r2_0.2","min5",1,0.512774162612792,0.996575838022966
"Point","Point",59,"Validation","Lasso","All_organs","r2_0.2","min5",1,4.15025014002944,0.356411736165694
